MethodKey,Method,ProtocolKey,Protocol,Split,Seed,Scope,Class,Precision,Recall,F1,Support,Predicted_Support
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,501,0.8777777777777778,0.49375,0.632,160,90
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,502,0.9365079365079365,0.5042735042735043,0.6555555555555556,117,63
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,503,0.7956989247311828,0.9866666666666667,0.8809523809523809,75,93
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,505,1.0,0.7,0.8235294117647058,10,7
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,506,0.9516129032258065,0.9752066115702479,0.963265306122449,121,124
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,508,1.0,0.9041095890410958,0.9496402877697842,73,66
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,510,0.9523809523809523,0.8333333333333334,0.8888888888888888,48,42
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,511,0.9649122807017544,0.8208955223880597,0.8870967741935484,134,114
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,512,0.9372197309417041,0.7627737226277372,0.8410462776659959,274,223
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,513,0.9045936395759717,0.7398843930635838,0.8139904610492846,346,283
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,515,1.0,0.7430167597765364,0.8525641025641025,179,133
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,516,1.0,0.8888888888888888,0.9411764705882353,9,8
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,517,0.9583333333333334,0.6052631578947368,0.7419354838709677,38,24
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,518,0.8333333333333334,0.875,0.8536585365853658,40,42
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,520,0.8918032786885246,0.7976539589442815,0.8421052631578947,341,305
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,521,0.0,0.0,0.0,1,0
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,522,0.9693877551020408,0.7630522088353414,0.8539325842696629,249,196
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,523,0.663160530929126,0.993993993993994,0.7955535526513444,2664,3993
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cafeteria,0.8376500315855969,0.6891891891891891,0.756201881950385,1924,1583
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cleaning,0.7918781725888325,0.7188940092165899,0.7536231884057971,434,394
